ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20211231,16.86,16.90,16.40,16.48,16.82,-0.34,-2.02,1750760.89,2899617.15
000001.SZ,20211230,16.76,16.95,16.72,16.82,16.75,0.07,0.42,796663.60,1342374.25
000001.SZ,20211229,17.16,17.16,16.70,16.75,17.17,-0.42,-2.45,1469373.98,2480534.59
000001.SZ,20211228,17.22,17.33,17.09,17.17,17.22,-0.05,-0.29,1126638.91,1934461.07
000001.SZ,20211227,17.33,17.35,17.16,17.22,17.31,-0.09,-0.52,731118.99,1260455.32
000001.SZ,20211224,17.33,17.35,17.21,17.31,17.32,-0.01,-0.06,488251.49,843109.66
000001.SZ,20211223,17.40,17.43,17.21,17.32,17.39,-0.07,-0.40,1059575.94,1831122.72
000001.SZ,20211222,17.62,17.64,17.30,17.39,17.59,-0.20,-1.14,976927.75,1701772.58
000001.SZ,20211221,17.49,17.71,17.48,17.59,17.52,0.07,0.40,893734.04,1572895.58
000001.SZ,20211220,17.56,17.65,17.45,17.52,17.57,-0.05,-0.28,746435.20,1309029.27
000001.SZ,20211217,17.70,17.75,17.57,17.57,17.72,-0.15,-0.85,602369.67,1062875.48
000001.SZ,20211216,17.55,17.73,17.46,17.72,17.55,0.17,0.97,819479.51,1445483.38
000001.SZ,20211215,17.51,17.66,17.40,17.55,17.58,-0.03,-0.17,1294627.41,2269821.04
000001.SZ,20211214,18.16,18.17,17.52,17.58,18.27,-0.69,-3.78,1937208.90,3434156.33
000001.SZ,20211213,18.47,18.88,18.18,18.27,18.38,-0.11,-0.60,1314490.27,2427803.72
000001.SZ,20211210,18.51,18.70,18.27,18.38,18.70,-0.32,-1.71,989255.13,1824076.52
000001.SZ,20211209,18.49,19.06,18.37,18.70,18.47,0.23,1.25,1455886.68,2726663.44
000001.SZ,20211208,18.45,18.55,18.16,18.47,18.46,0.01,0.05,980281.18,1798691.05
000001.SZ,20211207,18.30,18.67,18.15,18.46,18.10,0.36,1.99,1616443.87,2979968.98
000001.SZ,20211206,17.85,18.56,17.80,18.10,17.65,0.45,2.55,2145625.28,3896385.17
000001.SZ,20211203,17.64,17.70,17.41,17.65,17.59,0.06,0.34,707599.74,1242375.06
000001.SZ,20211202,17.62,17.81,17.37,17.59,17.64,-0.05,-0.28,994798.35,1749164.56
000001.SZ,20211201,17.43,17.77,17.37,17.64,17.44,0.20,1.15,706925.19,1243666.84
000001.SZ,20211130,17.54,17.68,17.35,17.44,17.51,-0.07,-0.40,733616.06,1280384.55
000001.SZ,20211129,17.41,17.57,17.36,17.51,17.58,-0.07,-0.40,512594.71,895105.98
000001.SZ,20211126,17.62,17.67,17.52,17.58,17.68,-0.10,-0.57,694499.88,1219937.31
000001.SZ,20211125,17.74,17.79,17.63,17.68,17.87,-0.19,-1.06,603532.70,1068221.30
000001.SZ,20211124,17.77,17.95,17.66,17.87,17.88,-0.01,-0.06,741310.84,1316774.40
000001.SZ,20211123,18.11,18.35,17.68,17.88,18.12,-0.24,-1.32,1235977.96,2213817.59
000001.SZ,20211122,18.03,18.25,17.90,18.12,18.15,-0.03,-0.17,738617.80,1337768.17
000001.SZ,20211119,17.80,18.24,17.70,18.15,17.80,0.35,1.97,786371.56,1414506.38
000001.SZ,20211118,18.09,18.12,17.73,17.80,18.11,-0.31,-1.71,799843.77,1430058.31
000001.SZ,20211117,18.15,18.30,17.98,18.11,18.22,-0.11,-0.60,664640.38,1203859.18
000001.SZ,20211116,18.36,18.54,18.17,18.22,18.43,-0.21,-1.14,601110.48,1099113.41
000001.SZ,20211115,18.35,18.63,18.20,18.43,18.27,0.16,0.88,655089.99,1203764.09
000001.SZ,20211112,18.31,18.63,18.11,18.27,18.35,-0.08,-0.44,957546.46,1753072.72
000001.SZ,20211111,17.35,18.43,17.32,18.35,17.40,0.95,5.46,2084729.00,3752413.86
000001.SZ,20211110,17.46,17.47,17.16,17.40,17.53,-0.13,-0.74,1220850.88,2109735.15
000001.SZ,20211109,17.48,17.65,17.26,17.53,17.42,0.11,0.63,1240572.75,2163193.12
000001.SZ,20211108,17.62,17.81,17.36,17.42,17.64,-0.22,-1.25,1376814.82,2406417.77
000001.SZ,20211105,17.85,18.00,17.57,17.64,17.87,-0.23,-1.29,1096039.88,1942415.60
000001.SZ,20211104,18.08,18.10,17.80,17.87,18.03,-0.16,-0.89,983410.98,1760671.90
000001.SZ,20211103,18.10,18.24,17.85,18.03,18.18,-0.15,-0.83,1114972.04,2009325.06
000001.SZ,20211102,19.37,19.49,17.99,18.18,19.39,-1.21,-6.24,1997690.50,3691356.32
000001.SZ,20211101,19.33,19.73,19.01,19.39,19.50,-0.11,-0.56,841490.20,1626762.03
000001.SZ,20211029,19.63,19.74,19.32,19.50,19.72,-0.22,-1.12,539929.76,1052760.27
000001.SZ,20211028,19.80,19.94,19.37,19.72,19.92,-0.20,-1.00,619010.89,1211946.11
000001.SZ,20211027,20.00,20.17,19.59,19.92,20.05,-0.13,-0.65,687600.19,1365982.83
000001.SZ,20211026,20.06,20.45,19.86,20.05,20.12,-0.07,-0.35,652806.84,1313475.88
000001.SZ,20211025,19.71,20.20,19.50,20.12,20.04,0.08,0.40,730828.23,1458800.09
000001.SZ,20211022,20.16,20.59,19.80,20.04,20.00,0.04,0.20,1134963.63,2287284.92
000001.SZ,20211021,19.52,20.06,19.25,20.00,19.24,0.76,3.95,1621661.01,3198266.21
000001.SZ,20211020,19.75,19.78,19.19,19.24,19.57,-0.33,-1.69,662955.55,1283356.22
000001.SZ,20211019,19.15,19.68,19.15,19.57,19.29,0.28,1.45,682415.15,1330501.30
000001.SZ,20211018,19.45,19.55,19.10,19.29,19.66,-0.37,-1.88,729622.50,1408737.78
000001.SZ,20211015,19.00,19.90,19.00,19.66,19.21,0.45,2.34,993493.78,1948647.24
000001.SZ,20211014,19.59,19.92,18.89,19.21,19.58,-0.37,-1.89,842989.87,1623970.43
000001.SZ,20211013,19.30,19.91,19.17,19.58,19.35,0.23,1.19,807896.68,1577612.47
000001.SZ,20211012,19.30,19.71,19.20,19.35,19.40,-0.05,-0.26,1031232.18,2004823.97
000001.SZ,20211011,19.00,19.74,19.00,19.40,18.64,0.76,4.08,1455338.35,2829310.84
000001.SZ,20211008,18.17,18.89,18.02,18.64,17.93,0.71,3.96,1159200.62,2146983.88
