,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000001.SZ,20241226,11.92,11.93,11.78,11.86,11.92,-0.06,-0.5034,1000074.7,1183745.519
1,000001.SZ,20241225,11.86,12.02,11.84,11.92,11.86,0.06,0.5059,1475282.94,1759956.63
2,000001.SZ,20241224,11.72,11.87,11.72,11.86,11.73,0.13,1.1083,1350836.91,1595698.79
3,000001.SZ,20241223,11.64,11.84,11.64,11.73,11.62,0.11,0.9466,1659404.76,1953519.499
4,000001.SZ,20241220,11.59,11.7,11.58,11.62,11.59,0.03,0.2588,714646.27,831437.46
5,000001.SZ,20241219,11.59,11.64,11.54,11.59,11.65,-0.06,-0.515,697379.04,808465.664
6,000001.SZ,20241218,11.58,11.74,11.57,11.65,11.53,0.12,1.0408,1016589.66,1186285.805
7,000001.SZ,20241217,11.57,11.65,11.52,11.53,11.57,-0.04,-0.3457,802119.95,929225.455
8,000001.SZ,20241216,11.56,11.66,11.53,11.57,11.56,0.01,0.0865,805717.78,934226.189
9,000001.SZ,20241213,11.79,11.8,11.56,11.56,11.85,-0.29,-2.4473,1343792.89,1565589.089
10,000001.SZ,20241212,11.73,11.87,11.71,11.85,11.73,0.12,1.023,986234.59,1164062.448
11,000001.SZ,20241211,11.79,11.83,11.72,11.73,11.79,-0.06,-0.5089,967691.45,1138374.175
12,000001.SZ,20241210,11.9,11.95,11.75,11.79,11.67,0.12,1.0283,2167807.24,2564600.677
13,000001.SZ,20241209,11.63,11.72,11.59,11.67,11.66,0.01,0.0858,964063.16,1123441.855
14,000001.SZ,20241206,11.44,11.7,11.43,11.66,11.44,0.22,1.9231,1726269.27,2004270.466
15,000001.SZ,20241205,11.44,11.5,11.41,11.44,11.46,-0.02,-0.1745,687108.83,786137.964
16,000001.SZ,20241204,11.44,11.53,11.37,11.46,11.49,-0.03,-0.2611,1007470.59,1154623.37
17,000001.SZ,20241203,11.37,11.5,11.35,11.49,11.39,0.1,0.878,1082559.36,1236992.678
18,000001.SZ,20241202,11.39,11.4,11.31,11.39,11.38,0.01,0.0879,975433.66,1108785.597
19,000001.SZ,20241129,11.37,11.46,11.34,11.38,11.34,0.04,0.3527,1028487.58,1173316.154
20,000001.SZ,20241128,11.39,11.42,11.32,11.34,11.39,-0.05,-0.439,733168.54,833121.339
21,000001.SZ,20241127,11.24,11.39,11.15,11.39,11.27,0.12,1.0648,895178.05,1010001.964
22,000001.SZ,20241126,11.18,11.31,11.14,11.27,11.18,0.09,0.805,831078.2,933733.855
23,000001.SZ,20241125,11.28,11.34,11.14,11.18,11.28,-0.1,-0.8865,1166020.32,1310130.629
24,000001.SZ,20241122,11.59,11.61,11.28,11.28,11.59,-0.31,-2.6747,1625317.44,1858071.592
25,000001.SZ,20241121,11.62,11.65,11.56,11.59,11.64,-0.05,-0.4296,883408.06,1023998.432
26,000001.SZ,20241120,11.67,11.75,11.61,11.64,11.68,-0.04,-0.3425,1286572.48,1498818.034
27,000001.SZ,20241119,11.75,11.96,11.55,11.68,11.75,-0.07,-0.5957,2430036.65,2849661.696
28,000001.SZ,20241118,11.63,12.04,11.62,11.75,11.44,0.31,2.7098,3797324.45,4493249.093
29,000001.SZ,20241115,11.5,11.61,11.42,11.44,11.54,-0.1,-0.8666,1215783.51,1399308.729
30,000001.SZ,20241114,11.59,11.7,11.53,11.54,11.61,-0.07,-0.6029,1159783.11,1348378.229
31,000001.SZ,20241113,11.5,11.7,11.48,11.61,11.54,0.07,0.6066,1086263.28,1260161.857
32,000001.SZ,20241112,11.58,11.84,11.51,11.54,11.6,-0.06,-0.5172,1717662.55,2005791.408
33,000001.SZ,20241111,11.63,11.68,11.47,11.6,11.72,-0.12,-1.0239,1486951.64,1717961.562
34,000001.SZ,20241108,11.94,12.01,11.7,11.72,11.91,-0.19,-1.5953,1895104.15,2239060.534
35,000001.SZ,20241107,11.5,11.93,11.48,11.91,11.55,0.36,3.1169,2242843.79,2627007.561
36,000001.SZ,20241106,11.62,11.64,11.47,11.55,11.65,-0.1,-0.8584,1462286.36,1689977.501
37,000001.SZ,20241105,11.42,11.66,11.39,11.65,11.46,0.19,1.6579,1665418.4,1925260.7
38,000001.SZ,20241104,11.43,11.46,11.26,11.46,11.43,0.03,0.2625,1131516.11,1285874.126
39,000001.SZ,20241101,11.38,11.55,11.34,11.43,11.38,0.05,0.4394,1589811.11,1821423.447
40,000001.SZ,20241031,11.33,11.44,11.24,11.38,11.32,0.06,0.53,1250205.39,1419624.319
41,000001.SZ,20241030,11.5,11.58,11.27,11.32,11.54,-0.22,-1.9064,1482402.79,1686501.658
42,000001.SZ,20241029,11.62,11.74,11.53,11.54,11.64,-0.1,-0.8591,1198024.82,1391150.259
43,000001.SZ,20241028,11.68,11.68,11.53,11.64,11.71,-0.07,-0.5978,1169486.98,1356008.963
44,000001.SZ,20241025,11.77,11.78,11.69,11.71,11.75,-0.04,-0.3404,1105754.68,1296844.369
45,000001.SZ,20241024,11.81,11.86,11.72,11.75,11.86,-0.11,-0.9275,885299.42,1042818.619
46,000001.SZ,20241023,11.82,11.89,11.75,11.86,11.79,0.07,0.5937,1511866.04,1787236.762
47,000001.SZ,20241022,11.76,11.93,11.72,11.79,11.81,-0.02,-0.1693,1617787.13,1908438.725
48,000001.SZ,20241021,11.94,11.94,11.63,11.81,12.04,-0.23,-1.9103,2806654.67,3302020.181
